Country,EdLevel,YearsCodePro,Industry,Salary
United States of America,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",285000.0
United States of America,Bachelor's Degree,23.0,"Information Services, IT, Software Development, or other Technology",250000.0
United Kingdom and Northern Ireland,Less than a Bachelor's,21.0,Other,96828.0
United States of America,Less than a Bachelor's,3.0,"Information Services, IT, Software Development, or other Technology",135000.0
United States of America,Bachelor's Degree,3.0,Financial Services,80000.0
United States of America,Bachelor's Degree,9.0,Other,75000.0
United States of America,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",150000.0
Netherlands,Master's Degree,7.0,Other,187407.0
Germany,Master's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",107090.0
France,Master's Degree,6.0,Retail and Consumer Services,58899.0
Germany,Less than a Bachelor's,14.0,"Information Services, IT, Software Development, or other Technology",75010.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,Higher Education,60828.0
Spain,Master's Degree,10.0,"Information Services, IT, Software Development, or other Technology",37481.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,"Manufacturing, Transportation, or Supply Chain",38483.0
Spain,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",74963.0
Germany,Less than a Bachelor's,7.0,Other,53545.0
Italy,Bachelor's Degree,13.0,Retail and Consumer Services,42836.0
United States of America,Less than a Bachelor's,15.0,"Manufacturing, Transportation, or Supply Chain",130000.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",136552.0
Canada,Bachelor's Degree,2.0,Other,111527.0
United States of America,Less than a Bachelor's,2.0,"Manufacturing, Transportation, or Supply Chain",63000.0
Canada,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",101490.0
Germany,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",82459.0
Netherlands,Bachelor's Degree,2.0,Insurance,38552.0
Brazil,Bachelor's Degree,14.0,Healthcare,24345.0
Germany,Bachelor's Degree,6.0,Retail and Consumer Services,86528.0
Germany,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",85672.0
France,Master's Degree,9.0,Retail and Consumer Services,85672.0
United States of America,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",200990.0
